person_id,weight,class,rep_num,duration,jerk_score,cheating_index,tremor_score,emg_intensity,peak_location,rpe,semantic_tags
A321,5,1,1,0.4119827678547862,2.6891008789848163,6.536766365806087,6.563600012678514,0.021828762570793653,0.0,3.0,爆发式借力
A321,5,1,2,0.33424138680196214,3.450836850128728,5.734248960995404,10.752601681843666,0.04276952927961298,0.9986072423398329,3.0,后程发力困难
A321,5,1,3,0.31329311047036285,3.439541457410509,5.897405906225881,12.879461068282135,0.12935052186705545,0.4279346210995542,3.0,动作教科书级
A321,5,1,4,0.3649655254216411,3.424518914791694,5.287283731094277,16.639345644347625,0.2854920489593956,0.9987244897959183,3.0,明显肌肉震颤 / 后程发力困难
A321,5,1,5,0.3016551791750299,4.303501837342599,4.975839873655807,12.223255503912661,0.4526115870803979,0.2191358024691358,4.0,动作流畅度下降 / 爆发式借力
A321,5,1,6,0.3621724219107612,3.198843832697837,5.667500058003091,15.50456993734414,0.033672875202227816,0.0,4.0,爆发式借力
A321,5,1,7,0.35286207687449483,2.7932679635128506,6.126393358218859,13.646696945383987,0.018734398699986065,0.21635883905013192,4.0,爆发式借力
A321,5,1,8,0.36822414618433436,3.1565702947185508,6.059549960158608,13.508316149188865,0.009175315355885576,0.9987357774968394,5.0,后程发力困难
A321,5,1,9,0.38405173274598714,2.960099757580401,6.277221028624073,11.78018927817818,0.09404093611965363,0.7830303030303031,5.0,后程发力困难
A321,5,1,10,0.36077587015532125,2.995837636985994,5.896576765827833,12.686599435986432,0.21637695361315165,0.9987096774193548,5.0,后程发力困难
A321,5,1,11,0.34867242160817496,3.1510489830399573,6.813879167331242,14.565352614085722,0.35619307631399677,0.025367156208277702,6.0,爆发式借力
A321,5,1,12,0.3454138008454818,2.949805021398696,6.372834668679115,15.391135824724765,0.015338547305752915,0.0,6.0,爆发式借力
A321,5,1,13,0.32446552451388244,3.388513243430051,5.909100947215128,11.295144250248795,0.010125613398817335,0.0,6.0,爆发式借力
