person_id,class,rep_num,weight_first,weight_nunique,rpe,n_rows,duration_s,emg_mean_abs,emg_std,emg_p2p,acc_norm_mean,acc_norm_std,gyro_norm_mean,gyro_norm_std,jerk_score,cheating_index,peak_location,nan_ratio,constant_ratio,spike_ratio
A321,1,1,10.0,3,5.0,3506,1.632103484857492,0.03974316528807758,0.02577555394195495,0.27325849999999996,1.0494972093976898,0.14583337974505886,87.69022818597035,49.023252330192165,46.40418277199394,7.2253522918381226,0.31783166904422255,0.0,0.023965763195435093,0.0
A321,1,2,10.0,3,5.0,2585,1.2033620959374263,0.06102095787234043,0.07506836420197097,0.7808347,1.0614381358804603,0.19498821858160786,112.23325424740013,52.26473465478633,55.19469218815674,6.66913496338837,0.07352941176470588,0.0,0.014761167624944714,0.0
A321,1,3,10.0,3,5.0,2558,1.1907931301384669,0.12564493393275997,0.1877345214096965,2.3908446,1.060257308781773,0.19773667131459474,118.98339393772336,53.08732869936404,56.72976633576407,7.001226978725814,0.3195150567070786,0.0,0.014637689256383039,0.00033508321233106225
A321,1,4,10.0,3,5.0,2812,1.3090345120990494,0.23150379690611664,0.3664998217380994,3.0954756999999997,1.0623278812352053,0.1673265602098057,109.75480152415359,49.849501880706626,54.148077808558476,6.635939438582805,0.19708288865172535,0.0,0.013213396351069776,0.0
A321,1,5,10.0,3,5.0,2684,1.2494483038669448,0.3037181985469449,0.508243159234603,5.424216100000001,1.0573114260145375,0.18774019151037782,116.2220436143803,51.798765435951616,51.26702015776674,7.0031100564808595,0.778606038017145,0.0,0.014482721899792344,5.3225463061528635e-05
A321,1,6,10.0,3,6.0,2776,1.29227589103377,0.11436936444524497,0.17121711847077872,2.1484702999999996,1.0612469538257416,0.1792571685972922,113.11275464984651,53.33018526083708,46.71890867372259,7.362789886794745,0.022702702702702703,0.0,0.014002574002574002,0.00025730753396459446
A321,1,7,10.0,3,6.0,2798,1.302517270573663,0.2124315104360257,0.36314040296137173,4.0394599,1.0563668383169174,0.1634447720928988,109.4026445325839,48.0006434356072,48.22360036002426,7.7986608499938805,0.6961029674651412,0.0,0.014862863271872922,0.0
A321,1,8,10.0,3,6.0,2841,1.3225345124016357,0.14625576930658218,0.27288558404788693,2.9212482,1.0571911303434631,0.17025978932305555,111.06067772282157,50.97526430540844,41.60990158267617,7.418284296254453,0.30422535211267604,0.0,0.015543259557344065,0.00020113642077739227
A321,1,9,10.0,3,6.0,3092,1.4393793426067785,0.08222099333764554,0.10793434386262338,1.1553063,1.055108066846251,0.15126978339716143,105.6570379260343,50.56184000392797,39.82676351595841,7.871662472248656,0.9178259462956971,0.0,0.01640708046401997,0.0
A321,1,10,10.0,3,7.0,3142,1.4626552051974444,0.20545868908338635,0.30807706463566453,3.2984054,1.053434698479564,0.14158649887969305,102.20668399694122,45.133103536961684,37.07727949974896,8.137127279090315,0.9964979305953517,0.0,0.01687360713148679,0.0
A321,1,11,10.0,3,7.0,3878,1.8052759025320462,0.34367093066013404,0.4798839337652241,4.1579613,1.054653565746671,0.17933047396558074,103.11286286419153,51.16161717448454,49.042698587579345,7.615532395436318,0.13696156822285271,0.0,0.01451785253693946,0.0
A321,1,12,10.0,2,8.0,1914,0.8910000199706901,0.06947634200626959,0.09861155798522528,1.0070955,1.0580155954966852,0.16615224342324464,110.63140377353412,50.506875074833154,37.70323283021932,7.721564529959899,0.37428123366440147,0.0,0.016503621835561196,0.0
A321,1,13,10.0,2,8.0,1936,0.9012413995105831,0.07013410289256199,0.10070204862240874,0.9372701,1.0560154754632722,0.16298021983560965,104.47529557359063,48.97084164776833,35.05156803772531,8.359366189789826,0.5669250645994832,0.0,0.02030269472129937,0.0
A321,1,14,10.0,2,9.0,2590,1.2056896821964929,0.34669131123552127,0.5202861397346742,4.7299916,1.0473766605565067,0.1446039505338079,94.69270702684959,57.24317351219257,33.50989940801631,8.748275062490732,0.3333333333333333,0.0,0.020471224410969484,0.0
A321,10,1,10.0,2,6.0,1958,0.9114827790504761,0.08771391475995914,0.13940802643157532,1.2164035000000002,1.0535675295136548,0.1583549912170072,101.40873595048805,46.744810006260636,73.25005470918677,2.723034948134271,0.9570771589167093,0.0,0.013869625520110954,0.0
A321,10,2,10.0,2,6.0,1910,0.8891379509634368,0.2663087258638744,0.36534028559231607,3.1595941,1.0552045602893938,0.157287239891935,101.84177744059892,48.066673428648535,80.64621546279535,2.561310245368506,1.0,0.0,0.011898525780139191,0.0
A321,10,3,10.0,2,6.0,2009,0.9352241588929553,0.3182942118964659,0.43920043878599535,4.3239643,1.0542524355566347,0.1659770266741104,100.28261246025177,48.47772586735772,77.03243313012128,2.601037572846474,0.3391434262948207,0.0,0.014299943084803642,0.0
A321,10,4,10.0,2,6.0,2100,0.9775862288079672,0.3136793785714286,0.4574092278723647,3.7680476,1.052822650141892,0.15128542813217086,98.21014302067539,48.07935491392668,69.82508901818305,2.5370408714035144,0.1672224868985231,0.0,0.011434016198189614,0.0
A321,10,5,10.0,2,7.0,1940,0.9031034685178364,0.0662165242783505,0.09593003240536452,1.0352941,1.0542148541105723,0.15252110702446126,104.97780503050308,44.568033402559934,72.55670651276111,2.4827368033809916,0.03455389375966993,0.0,0.01289324394017535,0.00014727540500736376
A321,10,6,10.0,2,7.0,2029,0.9445345039292217,0.10338479019221292,0.1588293906439248,2.1514916,1.0532299835298982,0.15434951074452496,107.29202122048227,45.11983760205876,78.74294845642261,2.5928030917235505,0.7638067061143984,0.0,0.012045646661031277,0.00028163064141378585
A321,10,7,10.0,2,7.0,2083,0.9696724355271409,0.1898846310129621,0.2743698171388929,2.5842069,1.050580848429148,0.13894043148964455,103.37780559667213,42.938701976815324,70.44211136491614,2.4751265639409983,0.978866474543708,0.0,0.01262522299986277,0.0
A321,10,8,10.0,2,8.0,2714,1.2634138214213444,0.318172211422255,0.43988179051529147,4.0844434000000005,1.042707631006068,0.12299673078527765,87.04214946469902,45.16693972260223,63.14238015075581,2.9197485718979483,0.4283081459638776,0.0,0.02069401295350429,0.0
A321,10,9,10.0,1,8.0,994,0.46272414830243785,0.5643831110663984,0.714567502531891,4.2267795999999995,1.0530468085724682,0.1322537286532603,105.1694987225454,40.023132948041585,52.43613304684952,1.7638658631368247,0.4944612286002014,0.0,0.01309164149043303,0.0
