metric,target_mean,others_mean,delta,zscore_vs_others,cohen_d
jerk_score,75.55165172427964,50.295803487927586,25.25584823635205,1.486014452791984,1.4164769587745518
gyro_norm_std,62.97677842665639,53.78099637355418,9.195782053102207,0.9388043687790338,0.9734628435165563
constant_ratio,0.01978583590883725,0.016079412285170486,0.0037064236236667644,0.7168305165041966,0.7160517261823869
acc_norm_mean,1.0379326617893103,1.0499973651015506,-0.012064703312240299,-0.6376316462414439,-0.6627530860511518
gyro_norm_mean,129.3925343911822,116.23943523720727,13.153099153974935,0.5157402660700587,0.5188334438150725
cheating_index,3.7956119471770395,5.207708071771017,-1.4120961245939774,-0.5039725693521472,-0.5277757569566417
duration_s,0.5476394827180278,0.7353615117974298,-0.18772202907940205,-0.42022473187435033,-0.4354437626118375
emg_p2p,2.1959296428571426,3.228659263401109,-1.0327296205439662,-0.370462540372989,-0.3523143303676556
emg_std,0.27799020276223924,0.3969319704549714,-0.11894176769273218,-0.3140540568177268,-0.3035766174021521
emg_mean_abs,0.19733909305334998,0.27293232947311774,-0.07559323641976776,-0.30797399602383524,-0.3022874009648468
peak_location,0.4961723327060939,0.5266604360634118,-0.03048810335731794,-0.09589024202734836,-0.09635723547447449
spike_ratio,5.843022539603357e-05,6.471219216524068e-05,-6.281966769207112e-06,-0.03742233264038829,-0.03712195638643915
acc_norm_std,0.18065526822282368,0.1828029658780132,-0.0021476976551895177,-0.03627010648622573,-0.037181079970126735
nan_ratio,0.0,0.0,0.0,0.0,0.0
